instrument,technique,F1_bw,F2_bw,F3_bw,F4_bw,F5_bw,F6_bw
Violon,crushed_to_ordinario,129.2,118.4,140.0,161.5,150.7,161.5
Violon,decrescendo,107.7,86.1,86.1,96.9,107.7,96.9
Violon,hit_on_body,150.7,204.6,215.3,140.0,118.4,150.7
Violon,natural_harmonics_glissandi,129.2,118.4,129.2,140.0,140.0,150.7
Violon,non_vibrato,129.2,107.7,107.7,107.7,107.7,107.7
Violon,note_lasting,96.9,96.9,96.9,96.9,107.7,118.4
Violon,on_the_tailpiece,140.0,129.2,484.5,269.2,247.6,258.4
Violon,on_the_tuning_pegs,140.0,452.2,172.3,172.3,1313.5,247.6
Violon,ordinario,118.4,96.9,96.9,107.7,107.7,107.7
Violon,ordinario_to_crushed,129.2,129.2,140.0,161.5,150.7,193.8
Violon,ordinario_to_sul_ponticello,150.7,107.7,118.4,107.7,107.7,107.7
Violon,ordinario_to_sul_tasto,107.7,96.9,107.7,118.4,118.4,118.4
Violon,ordinario_to_tremolo,107.7,96.9,107.7,107.7,107.7,118.4
Violon,pizzicato_bartok,129.2,118.4,129.2,118.4,118.4,118.4
Violon,pizzicato_l_vib,140.0,118.4,118.4,118.4,118.4,118.4
Violon,pizzicato_secco,129.2,118.4,118.4,118.4,118.4,118.4
Violon,sforzato,107.7,96.9,96.9,107.7,107.7,107.7
Violon,staccato,96.9,96.9,96.9,107.7,107.7,107.7
Violon,sul_ponticello,140.0,107.7,107.7,107.7,107.7,107.7
Violon,sul_ponticello_to_ordinario,118.4,96.9,107.7,107.7,118.4,118.4
Violon,sul_ponticello_to_sul_tasto,129.2,96.9,107.7,107.7,107.7,107.7
Violon,sul_ponticello_tremolo,107.7,96.9,96.9,107.7,96.9,118.4
Violon,sul_tasto,118.4,107.7,107.7,118.4,118.4,129.2
Violon,sul_tasto_to_ordinario,107.7,96.9,107.7,107.7,118.4,118.4
Violon,sul_tasto_to_sul_ponticello,129.2,107.7,107.7,107.7,118.4,118.4
Violon,tremolo,118.4,107.7,107.7,118.4,118.4,118.4
Violon,tremolo_to_ordinario,96.9,96.9,107.7,107.7,118.4,118.4
Violon,trill_major_second_up,96.9,118.4,118.4,118.4,118.4,129.2
Violon,trill_minor_second_up,107.7,86.1,96.9,107.7,118.4,140.0
Violon+sourdine,non_vibrato,129.2,118.4,107.7,107.7,118.4,118.4
Violon+sourdine,ordinario,129.2,107.7,96.9,107.7,107.7,107.7
Violon+sourdine,tremolo,118.4,107.7,107.7,118.4,118.4,129.2
Violon+sourdine piombo,non_vibrato,118.4,107.7,107.7,118.4,107.7,107.7
Violon+sourdine piombo,ordinario,118.4,96.9,107.7,107.7,107.7,107.7
Violon+sourdine piombo,tremolo,118.4,107.7,107.7,118.4,118.4,118.4
Violoncelle,artificial_harmonic,204.6,140.0,129.2,150.7,129.2,118.4
Violoncelle,artificial_harmonic_tremolo,118.4,107.7,118.4,129.2,129.2,118.4
Violoncelle,behind_the_bridge,129.2,96.9,118.4,96.9,107.7,107.7
Violoncelle,chromatic_scale,118.4,86.1,161.5,204.6,419.9,355.3
Violoncelle,col_legno_battuto,107.7,129.2,150.7,140.0,140.0,140.0
Violoncelle,col_legno_tratto,150.7,140.0,161.5,140.0,183.0,150.7
Violoncelle,crescendo,107.7,107.7,204.6,150.7,150.7,183.0
Violoncelle,crescendo_to_decrescendo,118.4,107.7,150.7,161.5,226.1,193.8
Violoncelle,crushed_to_ordinario,107.7,150.7,183.0,183.0,247.6,247.6
Violoncelle,decrescendo,107.7,107.7,129.2,107.7,118.4,107.7
Violoncelle,hit_on_body,172.3,226.1,86.1,,,
Violoncelle,natural_harmonics_glissandi,129.2,161.5,247.6,355.3,290.7,161.5
Violoncelle,non_vibrato,118.4,107.7,161.5,150.7,150.7,150.7
Violoncelle,note_lasting,107.7,96.9,183.0,140.0,150.7,150.7
Violoncelle,on_the_bridge,129.2,118.4,236.9,829.0,409.1,430.7
Violoncelle,on_the_frog,118.4,118.4,107.7,96.9,107.7,96.9
Violoncelle,on_the_tailpiece,129.2,161.5,161.5,247.6,118.4,333.8
Violoncelle,on_the_tuning_pegs,193.8,204.6,430.7,150.7,140.0,150.7
Violoncelle,ordinario,107.7,96.9,161.5,150.7,150.7,150.7
Violoncelle,ordinario_to_crushed,118.4,366.1,398.4,204.6,484.5,312.2
Violoncelle,ordinario_to_sul_ponticello,118.4,107.7,183.0,193.8,172.3,172.3
Violoncelle,ordinario_to_sul_tasto,107.7,107.7,140.0,150.7,183.0,193.8
Violoncelle,ordinario_to_tremolo,107.7,96.9,193.8,150.7,150.7,193.8
Violoncelle,pizzicato_bartok,172.3,193.8,129.2,161.5,161.5,150.7
Violoncelle,pizzicato_l_vib,107.7,96.9,118.4,107.7,118.4,118.4
Violoncelle,pizzicato_secco,107.7,96.9,118.4,118.4,118.4,118.4
Violoncelle,sforzato,107.7,96.9,140.0,129.2,140.0,129.2
Violoncelle,staccato,118.4,140.0,129.2,150.7,172.3,161.5
Violoncelle,sul_ponticello,140.0,129.2,150.7,161.5,150.7,161.5
Violoncelle,sul_ponticello_to_ordinario,129.2,118.4,193.8,172.3,193.8,150.7
Violoncelle,sul_ponticello_to_sul_tasto,118.4,118.4,172.3,161.5,204.6,290.7
Violoncelle,sul_ponticello_tremolo,129.2,129.2,172.3,161.5,161.5,161.5
Violoncelle,sul_tasto,118.4,129.2,172.3,172.3,183.0,161.5
Violoncelle,sul_tasto_to_ordinario,118.4,118.4,150.7,161.5,183.0,172.3
Violoncelle,sul_tasto_to_sul_ponticello,129.2,140.0,161.5,150.7,204.6,183.0
Violoncelle,sul_tasto_tremolo,107.7,107.7,161.5,140.0,161.5,150.7
Violoncelle,tremolo,118.4,118.4,193.8,172.3,183.0,183.0
Violoncelle,tremolo_to_ordinario,107.7,107.7,150.7,107.7,150.7,140.0
Violoncelle,trill_major_second_up,118.4,96.9,226.1,161.5,204.6,204.6
Violoncelle,trill_minor_second_up,129.2,96.9,215.3,172.3,215.3,161.5
Violoncelle+sourdine,non_vibrato,118.4,107.7,129.2,161.5,172.3,150.7
Violoncelle+sourdine,ordinario,118.4,96.9,140.0,150.7,161.5,161.5
Violoncelle+sourdine,tremolo,107.7,107.7,140.0,140.0,172.3,140.0
Violoncelle+sourdine piombo,non_vibrato,96.9,129.2,118.4,118.4,129.2,118.4
Violoncelle+sourdine piombo,ordinario,107.7,107.7,150.7,129.2,129.2,118.4
Violoncelle+sourdine piombo,tremolo,118.4,107.7,140.0,140.0,150.7,140.0
