instrument,technique,technique_family,n_samples,F1_hz,F2_hz,F3_hz,F4_hz,F5_hz,F6_hz,F1_db,F2_db,F3_db,F4_db,F5_db,F6_db,F1_mean,F1_std,F1_q25,F1_q75,F2_mean,F2_std,F2_q25,F2_q75,F3_mean,F3_std,F3_q25,F3_q75,F4_mean,F4_std,F5_mean,F5_std,F6_mean,F6_std,reliability_score,rugosity,suddenness,mean_kurtosis,mean_irregularity
Clarinette basse en Sib,aeolian,breath_tone,23,635.2,1410.4,1798.0,2164.1,2530.2,3703.7,-25.23,-10.12,-15.18,-15.76,-18.40,-18.96,709.2,361.2,344.5,1022.8,1304.6,228.2,1055.1,1421.2,1738.1,265.1,1453.5,1841.1,2150.0,298.3,2655.6,444.0,3382.1,437.8,0.185,0.0,0.0,21.374,0.001
Clarinette basse en Sib,flatterzunge,flutter,28,333.8,786.0,1388.9,1851.9,2185.6,2605.5,-12.13,-14.00,-7.45,-6.74,-4.01,-12.90,435.7,332.2,193.8,559.9,899.4,371.1,624.5,1162.8,1335.1,394.7,969.0,1550.4,1803.8,393.2,2237.1,401.9,2670.1,494.1,0.196,0.0,0.0,23.935,0.001
Clarinette basse en Sib,ordinario,ordinario,173,323.0,807.5,1259.7,1647.3,2034.9,2368.7,-6.68,-1.69,4.88,-0.05,-4.88,-4.44,428.5,284.8,193.8,570.6,897.0,395.0,581.4,1119.7,1302.8,486.6,958.2,1496.6,1741.5,674.3,2143.1,713.4,2659.5,861.7,0.223,0.0,0.0,116.373,0.003
Flûte basse,aeolian,breath_tone,13,279.9,602.9,915.2,1378.1,1873.4,3090.0,21.08,21.47,22.80,20.94,14.29,12.30,283.2,75.0,215.3,312.2,633.6,105.9,549.1,732.1,954.1,112.3,861.3,958.2,1416.2,254.3,1842.7,233.0,2911.1,858.6,0.491,0.308,0.0,5.087,0.0
Flûte basse,flatterzunge,flutter,39,279.9,624.5,1065.9,1550.4,1927.2,3057.7,11.83,12.02,11.01,2.16,0.74,-0.63,342.6,190.4,193.8,430.7,788.4,469.4,570.6,839.8,1204.8,537.2,893.6,1270.5,1825.1,883.3,2376.2,942.2,2952.7,1016.9,0.364,0.0,0.0,21.14,0.001
Flûte basse,ordinario,ordinario,39,301.5,667.5,958.2,1399.7,1884.2,2713.2,6.27,4.30,4.36,-0.45,-5.27,-6.65,345.9,149.9,247.6,419.9,708.9,171.8,581.4,818.3,1149.5,617.3,893.6,1238.2,1570.1,693.9,2123.5,875.3,2862.6,1009.0,0.425,0.0,0.0,22.408,0.001
Trombone basse,ordinario,ordinario,144,258.4,538.3,818.3,1173.6,1475.0,1830.3,3.55,11.26,11.94,7.39,4.78,1.09,328.8,131.2,226.1,473.7,616.3,156.3,484.5,775.2,905.1,172.6,775.2,1012.1,1230.5,245.5,1534.5,292.8,1958.6,440.3,0.453,0.0,0.0,60.285,0.002
Tuba basse+sourdine,flatterzunge,flutter,41,204.6,463.0,850.6,1302.8,1571.9,2110.3,29.75,27.81,23.51,10.97,11.42,12.84,216.6,68.2,172.3,215.3,498.2,109.7,441.4,484.5,871.6,114.9,818.3,872.1,1328.3,111.9,1691.8,212.1,2111.3,21.2,0.548,0.0,0.0,97.801,0.001
Clarinette en Mib,aeolian,breath_tone,19,882.9,1528.9,2002.6,2217.9,2584.0,2928.5,16.52,22.39,26.56,24.64,28.38,23.42,928.2,502.1,355.3,1216.6,1531.7,344.2,1227.4,1765.7,1963.5,339.5,1636.5,2207.2,2402.7,456.0,2887.7,510.9,3370.5,656.8,0.174,0.264,0.0,7.297,0.002
Clarinette en Mib,aeolian-flatterzunge,flutter,19,355.3,1787.3,2271.8,2702.4,3359.2,3929.8,17.45,24.38,22.73,21.55,23.33,18.63,934.4,653.8,312.2,1701.1,1818.4,316.5,1701.1,2045.7,2228.1,350.2,2034.9,2357.9,2784.0,506.5,3396.0,477.1,4025.0,703.3,0.174,0.21,0.0,10.021,0.002
