instrument,register,n_samples,MFCC_0,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12
Bass_Tuba+sordina,médium,24,-32.8258,38.8780,-6.5674,11.2626,-8.0528,3.2151,-1.3472,-2.6414,2.3997,-3.3671,2.5237,-2.6208,0.7593
Horn,grave,41,-36.9749,38.6180,-5.4865,11.2307,-5.9853,1.5304,-2.9116,-2.8251,1.4422,-3.7887,2.7223,-1.4678,0.3973
Bassoon,grave,36,-26.2316,40.3956,-8.6880,10.2851,-10.6049,3.3346,-2.2485,-3.2313,1.5862,-4.9951,3.6116,-1.9530,1.3052
Violoncello_Ensemble+sordina,médium,12,-10.1792,39.8758,-16.1288,18.4788,-7.7878,4.6964,-0.7457,-1.3121,3.9927,-4.8050,3.8570,-3.7730,1.0001
Viola_Ensemble+sordina,grave,8,-10.3646,40.8722,-16.2006,16.8075,-9.1414,3.5428,-1.7659,-4.2596,1.8288,-6.0824,2.1350,-3.6021,0.1817
Horn+sordina,pédale,2,-42.1480,35.6783,-6.5890,8.1266,-7.1862,2.0887,-0.8861,-0.9746,2.2683,-2.9863,2.7979,-1.5263,0.6199
Bassoon,bas_médium,36,-23.4376,39.2249,-11.2069,10.4146,-12.3480,1.6397,-3.3512,-3.3127,0.9127,-6.4722,3.3873,-2.6259,0.9207
Bassoon+sordina,haut_médium,12,-20.1977,37.0899,-15.1960,8.7997,-16.6445,-0.2641,-4.2774,-4.3836,0.5552,-7.2731,2.3570,-4.3179,-0.1079
Violoncello_Ensemble,médium,48,-7.5407,42.3249,-17.0054,15.0488,-8.7815,6.3214,-1.0788,-2.2263,4.0751,-4.5647,4.4895,-3.2999,0.8106
Contrabass_Ensemble,aigu,30,-12.9632,40.8839,-15.1865,13.7630,-9.8966,5.5177,-0.5604,-1.9941,3.2026,-5.3302,3.2320,-4.0352,0.2280
Contrabass,aigu,105,-22.1986,36.7831,-13.5609,12.8867,-9.1022,5.4979,-0.6476,-1.2188,3.6713,-4.8808,2.5935,-3.9541,1.0756
Bass_Tuba+sordina,aigu,18,-31.4554,37.6176,-9.5929,9.4341,-10.3668,1.3421,-2.8942,-4.3366,0.5415,-5.0934,1.2188,-4.3024,-0.5968
Bass_Tuba+sordina,grave,36,-38.0385,37.6306,-5.6599,9.9071,-7.8635,2.8037,-0.8542,-2.6701,2.1281,-3.1613,2.0050,-2.2597,0.6421
Trombone+sordina_wah,grave,26,-48.9019,34.6991,-3.0058,6.6839,-8.5277,1.0924,-1.3058,-0.6935,2.0895,-3.3676,2.0371,-1.5116,1.2661
Horn,médium,51,-29.3061,39.7756,-10.2016,10.0342,-7.9519,0.6865,-3.8025,-4.2185,0.6188,-4.9970,1.5475,-2.9443,-0.4470
Bass_Tuba,suraigu,9,-34.4463,39.1778,-7.0404,8.2582,-10.6349,-0.3918,-4.3271,-5.4090,-0.2671,-5.5898,-0.2888,-4.1477,-0.6703
Trombone+sordina_straight,grave,13,-38.9636,37.6050,-6.7515,7.1743,-8.7267,1.3662,-2.7625,-2.7229,2.0900,-2.7914,2.8728,-2.0401,0.6039
Contrabass_Clarinet_Bb,médium,12,5.8807,43.8434,-22.0494,17.2210,-9.1164,8.0555,-1.7756,-1.1439,4.4727,-6.7837,4.9896,-4.2713,1.8423
Violoncello,médium,90,-18.7113,38.3197,-15.0043,12.8321,-8.0265,6.4005,-0.8140,-1.9336,3.1975,-4.4242,4.1538,-3.1568,0.6980
Violoncello+sordina_piombo,médium,27,-23.4068,33.3752,-13.4768,16.8934,-8.5022,5.3782,-0.1001,-0.7620,4.7722,-3.6627,4.0395,-3.3368,0.7534
Contrabass_Clarinet_Bb,grave,15,4.5953,43.3502,-22.6756,16.5928,-8.5386,7.7415,-1.4541,-0.2576,4.9743,-6.0406,5.1575,-4.5673,1.1916
Trombone+sordina_straight,médium,12,-38.0561,37.8573,-7.9540,5.2019,-10.5511,0.9566,-3.2148,-4.3227,0.8944,-3.5856,2.1727,-2.9723,-0.7017
Viola_Ensemble+sordina,médium,12,-9.1068,37.2133,-20.4931,16.2032,-10.9556,2.5046,-3.6602,-5.8790,1.1802,-7.4196,1.2013,-5.1365,-1.0374
Trombone,grave,57,-23.5254,40.7227,-10.8998,10.2892,-10.4198,2.8589,-2.1576,-2.7241,3.0371,-3.9015,3.1882,-2.5683,1.1264
