instrument,register,n_samples,mean_centroid_hz,mean_spread_hz,V1_spread_centroid,V2_energy_1khz,V3_inv_formant_disp,V4_mfcc1,V1_z,V2_z,V3_z,V4_z,Volume_index,Density_index
Bass_Tuba+sordina,grave,36,818.1,1432.2,1.8954,0.9164,,37.63,0.759,0.655,0.000,0.596,0.670,-0.670
Trombone+sordina_wah,grave,26,971.5,1993.3,2.0425,0.9465,,34.70,1.022,0.748,0.000,0.240,0.670,-0.670
Horn,médium,51,778.2,1146.3,1.6354,0.9788,,39.78,0.294,0.847,0.000,0.857,0.666,-0.666
Bass_Tuba,suraigu,9,582.8,937.9,1.6311,0.9924,,39.18,0.286,0.889,0.000,0.785,0.653,-0.653
Trombone+sordina_straight,grave,13,853.2,1480.9,1.7657,0.9740,,37.61,0.527,0.832,0.000,0.593,0.651,-0.651
Contrabass_Clarinet_Bb,médium,12,1389.7,2061.0,1.6234,0.7988,,43.84,0.272,0.293,0.000,1.352,0.639,-0.639
Violoncello,médium,90,1378.4,2357.7,1.7461,0.9403,,38.32,0.492,0.729,0.000,0.680,0.634,-0.634
Violoncello+sordina_piombo,médium,27,2090.3,3698.4,1.9821,0.9703,,33.38,0.914,0.821,0.000,0.078,0.604,-0.604
Contrabass_Clarinet_Bb,grave,15,1312.7,1855.0,1.5211,0.8350,,43.35,0.090,0.405,0.000,1.292,0.596,-0.596
Trombone+sordina_straight,médium,12,832.0,1349.3,1.6279,0.9790,,37.86,0.281,0.848,0.000,0.624,0.584,-0.584
Viola_Ensemble+sordina,médium,12,1325.3,2001.9,1.6171,0.9883,,37.21,0.261,0.876,0.000,0.546,0.561,-0.561
Trombone,grave,57,943.9,1284.6,1.4992,0.9062,,40.72,0.051,0.624,0.000,0.973,0.549,-0.549
Clarinet_Bb,chalumeau,39,1216.1,2042.6,1.9182,0.8495,,35.99,0.799,0.449,0.000,0.396,0.548,-0.548
Contrabass_Clarinet_Bb,aigu,18,1502.7,2073.6,1.4777,0.8277,,42.86,0.012,0.382,0.000,1.233,0.543,-0.543
Bass_Trombone,aigu,12,1069.8,1512.1,1.5163,0.8965,,40.52,0.081,0.594,0.000,0.948,0.541,-0.541
Viola+sordina,grave,21,1438.2,2510.9,1.7527,0.9190,,36.45,0.504,0.663,0.000,0.452,0.540,-0.540
Bass_Clarinet_Bb,médium,20,1112.1,1416.9,1.3659,0.7645,,45.92,-0.188,0.187,0.000,1.605,0.535,-0.535
Guitar,aigu,50,1210.2,2122.6,1.8176,0.9249,,35.17,0.620,0.681,0.000,0.297,0.533,-0.533
Bass_Flute,médium,9,2152.1,3304.7,1.5916,0.8779,,39.49,0.216,0.537,0.000,0.822,0.525,-0.525
Bass_Tuba+sordina,suraigu,16,971.0,1680.1,1.8129,0.8889,,35.83,0.611,0.570,0.000,0.377,0.520,-0.520
Viola_Ensemble,grave,28,1254.2,1478.7,1.1824,0.9530,,43.29,-0.516,0.768,0.000,1.286,0.513,-0.513
Trombone+sordina_harmon,médium,12,1255.6,2545.6,2.0747,0.9517,,30.08,1.079,0.764,0.000,-0.323,0.507,-0.507
Contrabass+sordina,aigu,36,1830.7,3164.7,1.8073,0.9401,,34.25,0.601,0.728,0.000,0.184,0.505,-0.505
Bassoon,haut_médium,36,1206.3,2077.1,1.7645,0.9054,,35.63,0.525,0.621,0.000,0.353,0.500,-0.500
Marimba,médium,12,418.4,844.6,2.0334,1.0000,0.002609,40.51,1.005,0.912,-1.000,0.947,0.466,-0.466
Bass_Trombone,pédale,13,1102.5,1344.3,1.3020,0.8337,,43.22,-0.302,0.401,0.000,1.276,0.458,-0.458
Contrabass_Flute,médium,12,2105.2,3237.6,1.5545,0.7949,,40.34,0.149,0.281,0.000,0.926,0.452,-0.452
Trombone+sordina_wah,médium,24,1381.6,2579.9,1.7681,0.9320,,33.24,0.531,0.703,0.000,0.062,0.432,-0.432
Bass_Clarinet_Bb,aigu,47,1067.1,1278.5,1.2185,0.8217,,43.61,-0.451,0.364,0.000,1.324,0.412,-0.412
Bassoon+sordina,aigu,6,1297.2,2424.9,1.8676,0.9132,,31.66,0.709,0.645,0.000,-0.130,0.408,-0.408
Trombone,médium,36,1163.0,1452.5,1.3818,0.8691,,39.67,-0.159,0.510,0.000,0.844,0.398,-0.398
Violin_Ensemble+sordina,grave,6,1643.0,2152.8,1.3384,0.9742,,37.55,-0.237,0.833,0.000,0.586,0.394,-0.394
Horn+sordina,aigu,13,872.1,1544.9,1.8308,0.9706,,30.24,0.643,0.822,0.000,-0.303,0.387,-0.387
Viola+sordina,médium,66,1546.8,2679.6,1.7605,0.8839,,33.41,0.518,0.555,0.000,0.083,0.385,-0.385
Violoncello_Ensemble+sordina,aigu,12,2054.7,2666.3,1.3480,0.9663,,36.14,-0.220,0.809,0.000,0.415,0.335,-0.335
Guitar,suraigu,6,1470.8,2249.5,1.5911,0.9278,,33.52,0.215,0.690,0.000,0.096,0.334,-0.334
Trombone,pédale,3,975.5,1094.6,1.1559,0.8767,,41.19,-0.563,0.533,0.000,1.030,0.333,-0.333
Harp,aigu,72,1310.2,1986.8,1.6366,0.9211,,32.84,0.296,0.670,0.000,0.014,0.327,-0.327
Flute,grave,66,1403.2,2289.8,1.6840,0.8939,,32.74,0.381,0.586,0.000,0.001,0.323,-0.323
Horn,aigu,39,809.9,1090.5,1.3755,0.9911,,34.22,-0.171,0.885,0.000,0.181,0.299,-0.299
Trombone+sordina_cup,grave,13,1114.4,1781.1,1.5963,0.8247,,34.83,0.224,0.373,0.000,0.255,0.284,-0.284
Viola_Ensemble,médium,48,1501.4,1701.1,1.1483,0.8709,,40.06,-0.577,0.515,0.000,0.892,0.277,-0.277
Violoncello_Ensemble,aigu,48,1976.4,2414.7,1.2552,0.8764,,38.02,-0.386,0.532,0.000,0.644,0.263,-0.263
Viola,grave,27,1638.2,2178.6,1.3384,0.8587,,37.13,-0.237,0.477,0.000,0.535,0.259,-0.259
Sax_Alto,grave,39,1395.5,1929.9,1.5020,0.8210,,35.67,0.055,0.362,0.000,0.358,0.258,-0.258
Violoncello+sordina,aigu,39,2378.7,3521.5,1.5246,0.9272,,32.52,0.096,0.688,0.000,-0.026,0.253,-0.253
Clarinet_Eb,chalumeau,15,1690.7,2089.9,1.4754,0.6253,,40.06,0.008,-0.241,0.000,0.892,0.220,-0.220
Trombone,aigu,24,1263.2,1640.4,1.3556,0.8737,,35.38,-0.206,0.524,0.000,0.322,0.213,-0.213
Bassoon,aigu,18,1343.3,2226.5,1.6534,0.8592,,31.15,0.326,0.479,0.000,-0.192,0.205,-0.205
Trombone+sordina_cup,médium,12,1167.5,1777.8,1.5240,0.8447,,33.33,0.095,0.434,0.000,0.073,0.201,-0.201
Bass_Trombone,médium,39,1387.6,1453.2,1.0688,0.7245,,42.92,-0.719,0.064,0.000,1.240,0.195,-0.195
Clarinet_Bb,gorge,18,1461.0,2405.7,1.8213,0.7126,,32.04,0.626,0.028,0.000,-0.084,0.190,-0.190
Bass_Trombone,grave,80,1437.1,1505.9,1.0716,0.7124,,42.87,-0.714,0.027,0.000,1.234,0.183,-0.183
Contrabass_Flute,aigu,11,2724.4,3307.4,1.2943,0.8755,,34.69,-0.316,0.529,0.000,0.239,0.151,-0.151
Violin_Ensemble+sordina,médium,12,2114.7,2513.5,1.2296,0.9639,,33.17,-0.431,0.801,0.000,0.054,0.141,-0.141
Violin_Ensemble,grave,21,1855.8,1820.8,0.9848,0.8648,,38.99,-0.869,0.496,0.000,0.762,0.130,-0.130
Violoncello,aigu,108,2068.4,2819.6,1.4008,0.7872,,34.80,-0.125,0.257,0.000,0.252,0.128,-0.128
Trombone+sordina_straight,aigu,6,1209.8,1468.0,1.2451,0.8973,,34.11,-0.404,0.596,0.000,0.168,0.120,-0.120
Viola,médium,90,1783.3,2249.3,1.2841,0.8073,,34.45,-0.334,0.319,0.000,0.209,0.065,-0.065
Contrabass,suraigu,42,2195.9,3182.1,1.4946,0.7234,,33.16,0.042,0.061,0.000,0.053,0.052,-0.052
Violoncello+sordina_piombo,aigu,26,3487.3,4403.5,1.3046,0.9358,,30.07,-0.297,0.715,0.000,-0.324,0.031,-0.031
Contrabass+sordina,suraigu,21,2505.2,3557.3,1.5198,0.7290,,31.63,0.087,0.078,0.000,-0.134,0.011,-0.011
Trombone+sordina_wah,aigu,12,1736.1,2608.1,1.4605,0.8055,,30.13,-0.019,0.314,0.000,-0.317,-0.007,0.007
Trumpet_C+sordina_wah,grave,12,1684.2,2430.9,1.4146,0.7773,,31.21,-0.101,0.227,0.000,-0.185,-0.020,0.020
Flute,médium,72,1846.3,2691.7,1.4813,0.8712,,27.32,0.019,0.516,0.000,-0.658,-0.041,0.041
Violin,grave,18,2515.9,2777.1,1.1207,0.8227,,33.82,-0.626,0.367,0.000,0.133,-0.042,0.042
Violin+sordina,grave,15,2612.5,3098.4,1.2102,0.8512,,31.72,-0.466,0.455,0.000,-0.122,-0.045,0.045
Violin_Ensemble,médium,48,2041.8,1953.7,0.9634,0.7963,,35.84,-0.907,0.285,0.000,0.378,-0.081,0.081
