instrument_A,register_A,instrument_B,register_B,F1_A_hz,F1_B_hz,delta_F1_hz,Fp_A_hz,Fp_B_hz,delta_Fp_hz,Homogeneity_H,fusion_score,category
Viola_Ensemble+sordina,médium,Violin+sordina,médium,290,355,65,1261,1175,86,0.864,0.855,SEMI-FONDU
Contrabass,médium,Trombone+sordina_harmon,médium,161,183,22,1205,1075,130,0.865,0.855,FONDU
Contrabass_Ensemble,médium,Guitar,médium,172,215,43,1170,1002,168,0.953,0.855,SEMI-FONDU
Contrabass_Flute,médium,Violoncello,médium,333,193,140,1128,1202,74,0.957,0.854,SEMI-FONDU_H
Bass_Flute,médium,Viola_Ensemble,médium,312,312,0,1132,1339,207,0.946,0.854,FONDU
Guitar,médium,Violoncello_Ensemble,médium,215,204,11,1002,1211,209,0.964,0.853,FONDU
Harp,médium,Horn+sordina,médium,193,312,119,1053,1161,108,0.973,0.853,SEMI-FONDU_H
Bass_Tuba,médium,Violoncello_Ensemble+sordina,médium,204,204,0,1001,1180,179,0.899,0.852,FONDU
Horn+sordina,médium,Violin+sordina,médium,312,355,43,1161,1175,14,0.716,0.852,SEMI-FONDU
Horn,médium,Violin_Ensemble+sordina,médium,322,344,22,1006,1140,134,0.862,0.851,FONDU
Clarinet_Bb,chalumeau,Contrabass,médium,215,161,54,1315,1205,110,0.874,0.851,SEMI-FONDU
Bass_Tuba+sordina,médium,Horn,médium,473,322,151,1077,1006,71,0.961,0.851,SEMI-FONDU_H
Bass_Clarinet_Bb,médium,Viola,médium,183,322,139,1270,1315,45,0.903,0.851,FONDU_Fp
Bass_Flute,médium,Bassoon,grave,312,506,194,1132,1127,5,0.925,0.851,FONDU_Fp
Trumpet_C+sordina_harmon,médium,Viola+sordina_piombo,médium,301,290,11,1353,1247,106,0.801,0.850,FONDU
Marimba,médium,Violoncello+sordina_piombo,médium,322,161,161,1025,1087,62,0.958,0.850,SEMI-FONDU_H
Marimba,médium,Violin,médium,322,366,44,1025,1111,86,0.819,0.849,SEMI-FONDU
Trumpet_C+sordina_wah,médium,Viola_Ensemble+sordina,médium,312,290,22,1139,1261,122,0.838,0.849,FONDU
Guitar,médium,Violoncello+sordina,médium,215,193,22,1002,1226,224,0.990,0.849,FONDU
Bass_Flute,médium,Viola+sordina_piombo,médium,312,290,22,1132,1247,115,0.826,0.848,FONDU
Viola_Ensemble,médium,Violin_Ensemble+sordina,médium,312,344,32,1339,1140,199,0.967,0.848,SEMI-FONDU
Contrabass_Flute,médium,Violoncello_Ensemble,médium,333,204,129,1128,1211,83,0.938,0.848,SEMI-FONDU_H
Contrabass_Flute,médium,Viola,médium,333,322,11,1128,1315,187,0.917,0.848,FONDU
Bass_Tuba+sordina,médium,Marimba,médium,473,322,151,1077,1025,52,0.924,0.848,SEMI-FONDU_H
Trumpet_C+sordina_harmon,médium,Viola_Ensemble,médium,301,312,11,1353,1339,14,0.657,0.848,CONVERGENT
Bass_Tuba+sordina,médium,Trombone+sordina_straight,médium,473,592,119,1077,979,98,0.942,0.847,SEMI-FONDU_H
Bass_Flute,médium,Viola,médium,312,322,10,1132,1315,183,0.905,0.846,FONDU
Bassoon,grave,Horn+sordina,médium,506,312,194,1127,1161,34,0.957,0.846,FONDU_Fp
Bass_Tuba+sordina,médium,Contrabass_Flute,médium,473,333,140,1077,1128,51,0.900,0.845,SEMI-FONDU_H
Contrabass_Ensemble,médium,Contrabass_Tuba,médium,172,215,43,1170,964,206,0.986,0.845,SEMI-FONDU
Contrebasson,médium,Viola+sordina,médium,226,322,96,1078,1151,73,0.866,0.845,SEMI-FONDU_H
Guitar,médium,Violoncello,médium,215,193,22,1002,1202,200,0.944,0.844,FONDU
Bass_Clarinet_Bb,médium,Viola+sordina_piombo,médium,183,290,107,1270,1247,23,0.805,0.844,FONDU_Fp
Contrabass_Flute,médium,Viola_Ensemble,médium,333,312,21,1128,1339,211,0.957,0.844,FONDU
Bass_Tuba,médium,Contrabass,médium,204,161,43,1001,1205,204,0.977,0.843,SEMI-FONDU
Bass_Tuba+sordina,médium,Trombone,médium,473,602,129,1077,1008,69,0.903,0.842,SEMI-FONDU_H
Contrabass_Tuba,médium,Marimba,médium,215,322,107,964,1025,61,0.858,0.842,SEMI-FONDU_H
Oboe+sordina,médium,Trumpet_C,médium,1324,1152,172,1364,1306,58,0.949,0.842,SEMI-FONDU_H
Vibraphone,grave,Violin_Ensemble,médium,312,344,32,1130,1225,95,0.794,0.842,SEMI-FONDU
Viola+sordina,médium,Violoncello+sordina_piombo,médium,322,161,161,1151,1087,64,0.941,0.841,SEMI-FONDU_H
Contrabass_Tuba,médium,Violoncello+sordina_piombo,médium,215,161,54,964,1087,123,0.869,0.841,SEMI-FONDU
Viola_Ensemble,médium,Violin+sordina,médium,312,355,43,1339,1175,164,0.914,0.841,SEMI-FONDU
Bassoon,grave,Trombone+sordina_straight,médium,506,592,86,1127,979,148,0.954,0.841,SEMI-FONDU_H
Horn,médium,Violoncello+sordina_piombo,médium,322,161,161,1006,1087,81,0.966,0.841,SEMI-FONDU_H
Horn,médium,Trumpet_C+sordina_wah,médium,322,312,10,1006,1139,133,0.817,0.841,FONDU
Trumpet_C+sordina_harmon,médium,Viola,médium,301,322,21,1353,1315,38,0.690,0.841,CONVERGENT
Bass_Flute,médium,Violoncello+sordina,médium,312,193,119,1132,1226,94,0.921,0.841,SEMI-FONDU_H
Contrabass+sordina,médium,Vibraphone,grave,161,312,151,1205,1130,75,0.940,0.840,SEMI-FONDU_H
Bass_Tuba,médium,Contrabass+sordina,médium,204,161,43,1001,1205,204,0.972,0.840,SEMI-FONDU
Trumpet_C+sordina_wah,médium,Viola_Ensemble,médium,312,312,0,1139,1339,200,0.901,0.840,FONDU
Bass_Tuba+sordina,médium,Horn+sordina,médium,473,312,161,1077,1161,84,0.967,0.840,SEMI-FONDU_H
Clarinet_Bb,chalumeau,Contrabass_Ensemble,médium,215,172,43,1315,1170,145,0.881,0.840,SEMI-FONDU
Contrabass+sordina,médium,Viola_Ensemble+sordina,médium,161,290,129,1205,1261,56,0.874,0.839,SEMI-FONDU_H
Bassoon,grave,Trombone,médium,506,602,96,1127,1008,119,0.918,0.838,SEMI-FONDU_H
Contrabass_Flute,médium,Viola+sordina_piombo,médium,333,290,43,1128,1247,119,0.838,0.838,SEMI-FONDU
Bass_Tuba+sordina,médium,Contrebasson,médium,473,226,247,1077,1078,1,0.966,0.838,FONDU_Fp
Bassoon,grave,Viola+sordina,médium,506,322,184,1127,1151,24,0.906,0.838,FONDU_Fp
Bassoon+sordina,grave,Vibraphone,grave,484,312,172,1047,1130,83,0.976,0.837,SEMI-FONDU_H
Bass_Flute,médium,Contrabass_Ensemble,médium,312,172,140,1132,1170,38,0.859,0.837,FONDU_Fp
Violin_Ensemble,médium,Violoncello_Ensemble,médium,344,204,140,1225,1211,14,0.819,0.835,FONDU_Fp
Contrabass,médium,Vibraphone,grave,161,312,151,1205,1130,75,0.927,0.835,SEMI-FONDU_H
Clarinet_Bb,chalumeau,Viola+sordina_piombo,médium,215,290,75,1315,1247,68,0.801,0.835,SEMI-FONDU
Guitar,médium,Horn+sordina,médium,215,312,97,1002,1161,159,0.970,0.835,SEMI-FONDU_H
Viola+sordina_piombo,médium,Violoncello_Ensemble,médium,290,204,86,1247,1211,36,0.769,0.835,HÉTÉROGÈNE
Bass_Flute,médium,Bass_Tuba+sordina,médium,312,473,161,1132,1077,55,0.910,0.834,SEMI-FONDU_H
Viola+sordina,médium,Violoncello+sordina,médium,322,193,129,1151,1226,75,0.892,0.834,SEMI-FONDU_H
Bass_Clarinet_Bb,médium,Bass_Flute,médium,183,312,129,1270,1132,138,0.986,0.834,SEMI-FONDU_H
Contrabass,médium,Viola_Ensemble+sordina,médium,161,290,129,1205,1261,56,0.861,0.833,SEMI-FONDU_H
Violin_Ensemble+sordina,médium,Violoncello_Ensemble+sordina,médium,344,204,140,1140,1180,40,0.850,0.832,FONDU_Fp
Contrabass_Ensemble,médium,Viola+sordina,médium,172,322,150,1170,1151,19,0.833,0.832,FONDU_Fp
Horn+sordina,médium,Violin_Ensemble,médium,312,344,32,1161,1225,64,0.723,0.832,SEMI-FONDU
Contrabass_Clarinet_Bb,médium,Violoncello,médium,75,193,118,1363,1202,161,0.996,0.831,SEMI-FONDU_H
Bass_Tuba,médium,Violoncello_Ensemble,médium,204,204,0,1001,1211,210,0.893,0.831,FONDU
Violin_Ensemble,médium,Violoncello,médium,344,193,151,1225,1202,23,0.838,0.831,FONDU_Fp
Clarinet_Bb,chalumeau,Trombone+sordina_harmon,médium,215,183,32,1315,1075,240,0.985,0.831,SEMI-FONDU
Violin+sordina,médium,Violoncello_Ensemble+sordina,médium,355,204,151,1175,1180,5,0.809,0.830,FONDU_Fp
Viola+sordina_piombo,médium,Violoncello,médium,290,193,97,1247,1202,45,0.788,0.830,HÉTÉROGÈNE
Bass_Clarinet_Bb,médium,Viola+sordina,médium,183,322,139,1270,1151,119,0.961,0.829,SEMI-FONDU_H
Bass_Tuba,médium,Violoncello+sordina,médium,204,193,11,1001,1226,225,0.925,0.829,FONDU
Marimba,médium,Violin+sordina,médium,322,355,33,1025,1175,150,0.845,0.828,SEMI-FONDU
Contrabass+sordina,médium,Guitar,médium,161,215,54,1205,1002,203,0.956,0.828,SEMI-FONDU
Horn+sordina,médium,Trombone+sordina_harmon,médium,312,183,129,1161,1075,86,0.891,0.827,SEMI-FONDU_H
Horn,médium,Violin,médium,322,366,44,1006,1111,105,0.791,0.827,SEMI-FONDU
Contrabass_Clarinet_Bb,médium,Violoncello+sordina,médium,75,193,118,1363,1226,137,0.949,0.827,SEMI-FONDU_H
Bassoon,grave,Violin_Ensemble+sordina,médium,506,344,162,1127,1140,13,0.829,0.826,FONDU_Fp
Bass_Flute,médium,Guitar,médium,312,215,97,1132,1002,130,0.906,0.826,SEMI-FONDU_H
Contrabass_Tuba,médium,Violoncello_Ensemble+sordina,médium,215,204,11,964,1180,216,0.904,0.825,FONDU
Vibraphone,grave,Viola_Ensemble,médium,312,312,0,1130,1339,209,0.877,0.825,FONDU
Marimba,médium,Viola_Ensemble+sordina,médium,322,290,32,1025,1261,236,0.964,0.825,SEMI-FONDU
Bass_Flute,médium,Clarinet_Bb,chalumeau,312,215,97,1132,1315,183,0.982,0.825,SEMI-FONDU_H
Viola+sordina_piombo,médium,Violoncello+sordina,médium,290,193,97,1247,1226,21,0.739,0.825,HÉTÉROGÈNE
Clarinet_Eb,médium,Oboe+sordina,médium,1496,1324,172,1417,1364,53,0.899,0.825,SEMI-FONDU_H
Viola,médium,Violin,médium,322,366,44,1315,1111,204,0.932,0.824,SEMI-FONDU
Trumpet_C+sordina_wah,médium,Violoncello_Ensemble+sordina,médium,312,204,108,1139,1180,41,0.782,0.824,HÉTÉROGÈNE
Contrabass,médium,Guitar,médium,161,215,54,1205,1002,203,0.944,0.823,SEMI-FONDU
Bass_Tuba,médium,Horn+sordina,médium,204,312,108,1001,1161,160,0.960,0.823,SEMI-FONDU_H
Bass_Tuba,médium,Vibraphone,grave,204,312,108,1001,1130,129,0.913,0.823,SEMI-FONDU_H
Contrabass_Clarinet_Bb,médium,Violoncello_Ensemble,médium,75,204,129,1363,1211,152,0.979,0.823,SEMI-FONDU_H
Trombone+sordina_harmon,médium,Violin_Ensemble+sordina,médium,183,344,161,1075,1140,65,0.896,0.823,SEMI-FONDU_H
Violin_Ensemble+sordina,médium,Violoncello,médium,344,193,151,1140,1202,62,0.876,0.823,SEMI-FONDU_H
Violin_Ensemble,médium,Violoncello+sordina,médium,344,193,151,1225,1226,1,0.784,0.822,HÉTÉROGÈNE
Clarinet_Bb,chalumeau,Violoncello+sordina_piombo,médium,215,161,54,1315,1087,228,0.979,0.822,SEMI-FONDU
Clarinet_Bb,chalumeau,Viola+sordina,médium,215,322,107,1315,1151,164,0.962,0.822,SEMI-FONDU_H
Bass_Tuba,médium,Violoncello,médium,204,193,11,1001,1202,201,0.873,0.822,FONDU
Bass_Flute,médium,Harp,médium,312,193,119,1132,1053,79,0.851,0.822,SEMI-FONDU_H
Bass_Tuba+sordina,médium,Viola+sordina,médium,473,322,151,1077,1151,74,0.890,0.821,SEMI-FONDU_H
Horn+sordina,médium,Viola_Ensemble,médium,312,312,0,1161,1339,178,0.820,0.821,FONDU
Contrabass_Flute,médium,Violoncello+sordina,médium,333,193,140,1128,1226,98,0.909,0.821,SEMI-FONDU_H
Bass_Clarinet_Bb,médium,Violin_Ensemble,médium,183,344,161,1270,1225,45,0.859,0.820,FONDU_Fp
Contrabass_Ensemble,médium,Viola_Ensemble+sordina,médium,172,290,118,1170,1261,91,0.863,0.820,SEMI-FONDU_H
Violin+sordina,médium,Violoncello,médium,355,193,162,1175,1202,27,0.833,0.820,FONDU_Fp
Horn+sordina,médium,Violoncello+sordina_piombo,médium,312,161,151,1161,1087,74,0.886,0.820,SEMI-FONDU_H
Bass_Clarinet_Bb,médium,Contrebasson,médium,183,226,43,1270,1078,192,0.901,0.820,SEMI-FONDU
Trumpet_C+sordina_cup,médium,Trumpet_C+sordina_straight,médium,1496,1442,54,1617,1428,189,0.913,0.819,SEMI-FONDU
Viola_Ensemble,médium,Violoncello_Ensemble,médium,312,204,108,1339,1211,128,0.902,0.819,SEMI-FONDU_H
Contrabass,médium,Contrabass_Tuba,médium,161,215,54,1205,964,241,0.989,0.819,SEMI-FONDU
Trumpet_C+sordina_wah,médium,Violoncello,médium,312,193,119,1139,1202,63,0.819,0.819,SEMI-FONDU_H
Vibraphone,grave,Viola,médium,312,322,10,1130,1315,185,0.838,0.818,FONDU
Bassoon+sordina,grave,Contrabass_Flute,médium,484,333,151,1047,1128,81,0.893,0.818,SEMI-FONDU_H
Trombone+sordina_harmon,médium,Trumpet_C+sordina_wah,médium,183,312,129,1075,1139,64,0.834,0.818,SEMI-FONDU_H
Contrabass_Ensemble,médium,Contrabass_Flute,médium,172,333,161,1170,1128,42,0.848,0.817,FONDU_Fp
Bassoon+sordina,grave,Horn+sordina,médium,484,312,172,1047,1161,114,0.972,0.817,SEMI-FONDU_H
Flute,médium,Oboe+sordina,médium,1496,1324,172,1412,1364,48,0.872,0.817,FONDU_Fp
Violin_Ensemble+sordina,médium,Violoncello_Ensemble,médium,344,204,140,1140,1211,71,0.858,0.816,SEMI-FONDU_H
Trumpet_C+sordina_harmon,médium,Violin+sordina_piombo,médium,301,75,226,1353,1376,23,0.912,0.816,FONDU_Fp
Viola_Ensemble,médium,Violoncello,médium,312,193,119,1339,1202,137,0.922,0.815,SEMI-FONDU_H
Horn+sordina,médium,Viola,médium,312,322,10,1161,1315,154,0.784,0.815,SEMI-FONDU
Contrabass+sordina,médium,Contrabass_Clarinet_Bb,médium,161,75,86,1205,1363,158,0.903,0.815,SEMI-FONDU_H
Trombone+sordina_harmon,médium,Viola_Ensemble+sordina,médium,183,290,107,1075,1261,186,0.975,0.814,SEMI-FONDU_H
Bass_Clarinet_Bb,médium,Contrabass_Flute,médium,183,333,150,1270,1128,142,0.973,0.814,SEMI-FONDU_H
Bass_Flute,médium,Contrabass+sordina,médium,312,161,151,1132,1205,73,0.871,0.814,SEMI-FONDU_H
Clarinet_Bb,chalumeau,Contrebasson,médium,215,226,11,1315,1078,237,0.907,0.814,FONDU
Horn,médium,Trombone+sordina_straight,médium,322,592,270,1006,979,27,0.981,0.814,FONDU_Fp
Violin+sordina,médium,Violoncello_Ensemble,médium,355,204,151,1175,1211,36,0.815,0.814,FONDU_Fp
Vibraphone,grave,Viola+sordina_piombo,médium,312,290,22,1130,1247,117,0.742,0.814,SEMI-FONDU
Horn+sordina,médium,Violin,médium,312,366,54,1161,1111,50,0.689,0.813,HÉTÉROGÈNE
Bass_Clarinet_Bb,médium,Harp,médium,183,193,10,1270,1053,217,0.873,0.813,FONDU
Horn,médium,Viola_Ensemble+sordina,médium,322,290,32,1006,1261,255,0.963,0.813,SEMI-FONDU
Contrabass_Clarinet_Bb,médium,Viola_Ensemble,médium,75,312,237,1363,1339,24,0.923,0.813,FONDU_Fp
Viola,médium,Violoncello_Ensemble,médium,322,204,118,1315,1211,104,0.865,0.813,SEMI-FONDU_H
Viola+sordina_piombo,médium,Violoncello_Ensemble+sordina,médium,290,204,86,1247,1180,67,0.761,0.813,HÉTÉROGÈNE
Contrabass+sordina,médium,Contrabass_Tuba,médium,161,215,54,1205,964,241,0.974,0.812,SEMI-FONDU
Bassoon+sordina,grave,Contrebasson,médium,484,226,258,1047,1078,31,0.964,0.812,FONDU_Fp
Violin_Ensemble,médium,Violoncello_Ensemble+sordina,médium,344,204,140,1225,1180,45,0.808,0.812,FONDU_Fp
Trumpet_C+sordina_wah,médium,Violoncello_Ensemble,médium,312,204,108,1139,1211,72,0.799,0.812,HÉTÉROGÈNE
Contrabass_Flute,médium,Guitar,médium,333,215,118,1128,1002,126,0.895,0.812,SEMI-FONDU_H
Clarinet_Bb,chalumeau,Violin_Ensemble,médium,215,344,129,1315,1225,90,0.857,0.812,SEMI-FONDU_H
Marimba,médium,Trombone,médium,322,602,280,1025,1008,17,0.973,0.811,FONDU_Fp
Bass_Tuba+sordina,médium,Violin,médium,473,366,107,1077,1111,34,0.739,0.811,HÉTÉROGÈNE
Contrebasson,médium,Viola_Ensemble+sordina,médium,226,290,64,1078,1261,183,0.896,0.810,SEMI-FONDU
Violin_Ensemble+sordina,médium,Violoncello+sordina_piombo,médium,344,161,183,1140,1087,53,0.879,0.810,SEMI-FONDU_H
Horn,médium,Violoncello_Ensemble+sordina,médium,322,204,118,1006,1180,174,0.963,0.810,SEMI-FONDU_H
Bassoon,grave,Violin,médium,506,366,140,1127,1111,16,0.758,0.809,HÉTÉROGÈNE
Contrabass,médium,Contrabass_Clarinet_Bb,médium,161,75,86,1205,1363,158,0.890,0.809,SEMI-FONDU_H
Viola_Ensemble+sordina,médium,Violoncello+sordina_piombo,médium,290,161,129,1261,1087,174,0.978,0.809,SEMI-FONDU_H
Horn,médium,Trombone,médium,322,602,280,1006,1008,2,0.946,0.809,FONDU_Fp
Bass_Clarinet_Bb,médium,Horn+sordina,médium,183,312,129,1270,1161,109,0.880,0.809,SEMI-FONDU_H
Contrabass_Tuba,médium,Vibraphone,grave,215,312,97,964,1130,166,0.917,0.809,SEMI-FONDU_H
Marimba,médium,Violoncello_Ensemble+sordina,médium,322,204,118,1025,1180,155,0.931,0.809,SEMI-FONDU_H
Bass_Flute,médium,Contrabass,médium,312,161,151,1132,1205,73,0.858,0.809,SEMI-FONDU_H
Viola,médium,Violoncello,médium,322,193,129,1315,1202,113,0.885,0.809,SEMI-FONDU_H
Bass_Tuba+sordina,médium,Violin_Ensemble+sordina,médium,473,344,129,1077,1140,63,0.809,0.808,SEMI-FONDU_H
Contrebasson,médium,Violin_Ensemble+sordina,médium,226,344,118,1078,1140,62,0.791,0.808,HÉTÉROGÈNE
Viola_Ensemble,médium,Violoncello+sordina,médium,312,193,119,1339,1226,113,0.868,0.808,SEMI-FONDU_H
Contrebasson,médium,Trumpet_C+sordina_wah,médium,226,312,86,1078,1139,61,0.740,0.808,HÉTÉROGÈNE
Contrabass_Flute,médium,Harp,médium,333,193,140,1128,1053,75,0.841,0.807,SEMI-FONDU_H
Bass_Clarinet_Bb,médium,Vibraphone,grave,183,312,129,1270,1130,140,0.922,0.807,SEMI-FONDU_H
Contrabass+sordina,médium,Viola+sordina,médium,161,322,161,1205,1151,54,0.840,0.807,SEMI-FONDU_H
Bass_Flute,médium,Bassoon+sordina,grave,312,484,172,1132,1047,85,0.903,0.807,SEMI-FONDU_H
Marimba,médium,Violin_Ensemble,médium,322,344,22,1025,1225,200,0.850,0.807,FONDU
Clarinet_Bb,chalumeau,Horn+sordina,médium,215,312,97,1315,1161,154,0.893,0.806,SEMI-FONDU_H
Contrabass_Tuba,médium,Horn+sordina,médium,215,312,97,964,1161,197,0.956,0.806,SEMI-FONDU_H
Bassoon,grave,Horn,médium,506,322,184,1127,1006,121,0.970,0.805,SEMI-FONDU_H
Clarinet_Bb,chalumeau,Contrabass_Flute,médium,215,333,118,1315,1128,187,0.969,0.805,SEMI-FONDU_H
Horn,médium,Violin+sordina,médium,322,355,33,1006,1175,169,0.814,0.805,SEMI-FONDU
Contrabass_Tuba,médium,Violoncello_Ensemble,médium,215,204,11,964,1211,247,0.898,0.805,FONDU
Bassoon+sordina,grave,Guitar,médium,484,215,269,1047,1002,45,0.981,0.804,FONDU_Fp
Horn+sordina,médium,Viola+sordina_piombo,médium,312,290,22,1161,1247,86,0.672,0.804,CONVERGENT
Clarinet_Bb,chalumeau,Vibraphone,grave,215,312,97,1315,1130,185,0.931,0.803,SEMI-FONDU_H
Contrabass,médium,Viola+sordina,médium,161,322,161,1205,1151,54,0.829,0.802,SEMI-FONDU_H
Bassoon+sordina,grave,Harp,médium,484,193,291,1047,1053,6,0.951,0.802,FONDU_Fp
Contrabass_Flute,médium,Trombone+sordina_wah,médium,333,592,259,1128,1082,46,0.962,0.802,FONDU_Fp
Bass_Trombone,médium,English_Horn,médium,872,1065,193,1123,1186,63,0.888,0.802,SEMI-FONDU_H
Guitar,médium,Viola+sordina,médium,215,322,107,1002,1151,149,0.887,0.801,SEMI-FONDU_H
Contrabass_Clarinet_Bb,médium,Violoncello_Ensemble+sordina,médium,75,204,129,1363,1180,183,0.971,0.801,SEMI-FONDU_H
Contrabass_Tuba,médium,Violoncello+sordina,médium,215,193,22,964,1226,262,0.929,0.801,FONDU
Viola,médium,Violoncello+sordina,médium,322,193,129,1315,1226,89,0.830,0.801,SEMI-FONDU_H
Trumpet_C+sordina_wah,médium,Violoncello+sordina_piombo,médium,312,161,151,1139,1087,52,0.807,0.801,SEMI-FONDU_H
Viola_Ensemble+sordina,médium,Violin,médium,290,366,76,1261,1111,150,0.841,0.801,SEMI-FONDU
Bassoon,grave,Marimba,médium,506,322,184,1127,1025,102,0.930,0.800,SEMI-FONDU_H
Contrabass_Clarinet_Bb,médium,Viola_Ensemble+sordina,médium,75,290,215,1363,1261,102,0.976,0.800,SEMI-FONDU_H
Marimba,médium,Violoncello,médium,322,193,129,1025,1202,177,0.958,0.800,SEMI-FONDU_H
Clarinet_Eb,médium,Piccolo,médium,1496,1431,65,1417,1508,91,0.729,0.798,SEMI-FONDU
Horn,médium,Violoncello,médium,322,193,129,1006,1202,196,0.982,0.798,SEMI-FONDU_H
Bass_Tuba+sordina,médium,Harp,médium,473,193,280,1077,1053,24,0.951,0.798,FONDU_Fp
Trombone+sordina_harmon,médium,Violin,médium,183,366,183,1075,1111,36,0.821,0.797,FONDU_Fp
Harp,médium,Viola+sordina,médium,193,322,129,1053,1151,98,0.832,0.797,SEMI-FONDU_H
Viola_Ensemble,médium,Violoncello_Ensemble+sordina,médium,312,204,108,1339,1180,159,0.891,0.796,SEMI-FONDU_H
Bass_Tuba+sordina,médium,Trombone+sordina_harmon,médium,473,183,290,1077,1075,2,0.928,0.796,FONDU_Fp
Horn,médium,Violoncello_Ensemble,médium,322,204,118,1006,1211,205,0.974,0.796,SEMI-FONDU_H
Marimba,médium,Trombone+sordina_straight,médium,322,592,270,1025,979,46,0.963,0.796,FONDU_Fp
Contrabass_Tuba,médium,Violoncello,médium,215,193,22,964,1202,238,0.879,0.796,FONDU
Marimba,médium,Trombone+sordina_wah,médium,322,592,270,1025,1082,57,0.977,0.795,SEMI-FONDU_H
Contrabass+sordina,médium,Contrabass_Flute,médium,161,333,172,1205,1128,77,0.860,0.795,SEMI-FONDU_H
Bassoon+sordina,grave,Viola+sordina,médium,484,322,162,1047,1151,104,0.885,0.794,SEMI-FONDU_H
Bass_Tuba+sordina,médium,Guitar,médium,473,215,258,1077,1002,75,0.984,0.794,SEMI-FONDU_H
Bassoon,grave,Violin+sordina,médium,506,355,151,1127,1175,48,0.781,0.793,HÉTÉROGÈNE
Marimba,médium,Violoncello_Ensemble,médium,322,204,118,1025,1211,186,0.938,0.793,SEMI-FONDU_H
Trumpet_C+sordina_harmon,médium,Violin_Ensemble,médium,301,344,43,1353,1225,128,0.734,0.791,SEMI-FONDU
Bassoon,grave,Trumpet_C+sordina_wah,médium,506,312,194,1127,1139,12,0.786,0.791,HÉTÉROGÈNE
Contrabass,médium,Contrabass_Flute,médium,161,333,172,1205,1128,77,0.846,0.789,SEMI-FONDU_H
Viola_Ensemble,médium,Violin,médium,312,366,54,1339,1111,228,0.896,0.789,SEMI-FONDU
Viola,médium,Violoncello_Ensemble+sordina,médium,322,204,118,1315,1180,135,0.852,0.789,SEMI-FONDU_H
Bass_Clarinet_Bb,médium,Guitar,médium,183,215,32,1270,1002,268,0.922,0.789,SEMI-FONDU
Violin_Ensemble+sordina,médium,Violoncello+sordina,médium,344,193,151,1140,1226,86,0.826,0.788,SEMI-FONDU_H
Violin,médium,Violoncello+sordina_piombo,médium,366,161,205,1111,1087,24,0.812,0.787,FONDU_Fp
Bass_Flute,médium,Bass_Tuba,médium,312,204,108,1132,1001,131,0.826,0.787,SEMI-FONDU_H
Marimba,médium,Viola,médium,322,322,0,1025,1315,290,0.902,0.787,FONDU
Contrebasson,médium,Violin,médium,226,366,140,1078,1111,33,0.724,0.786,HÉTÉROGÈNE
Violin+sordina,médium,Violoncello+sordina,médium,355,193,162,1175,1226,51,0.783,0.786,HÉTÉROGÈNE
Bassoon,grave,Contrebasson,médium,506,226,280,1127,1078,49,0.956,0.785,FONDU_Fp
Horn,médium,Violin_Ensemble,médium,322,344,22,1006,1225,219,0.824,0.785,FONDU
Trombone,médium,Trombone+sordina_cup,médium,602,915,313,1008,992,16,0.954,0.784,FONDU_Fp
Clarinet_Bb,chalumeau,Guitar,médium,215,215,0,1315,1002,313,0.929,0.784,FONDU
Trumpet_C+sordina_harmon,médium,Viola_Ensemble+sordina,médium,301,290,11,1353,1261,92,0.613,0.783,CONVERGENT
Trombone+sordina_wah,médium,Viola+sordina,médium,592,322,270,1082,1151,69,0.966,0.783,SEMI-FONDU_H
Bass_Clarinet_Bb,médium,Violin_Ensemble+sordina,médium,183,344,161,1270,1140,130,0.894,0.783,SEMI-FONDU_H
Bassoon+sordina,grave,Violin,médium,484,366,118,1047,1111,64,0.730,0.783,HÉTÉROGÈNE
Contrabass_Clarinet_Bb,médium,Contrabass_Ensemble,médium,75,172,97,1363,1170,193,0.892,0.783,SEMI-FONDU_H
Clarinet_Bb,chalumeau,Harp,médium,215,193,22,1315,1053,262,0.881,0.782,FONDU
Bass_Tuba+sordina,médium,Violoncello+sordina_piombo,médium,473,161,312,1077,1087,10,0.936,0.781,FONDU_Fp
Marimba,médium,Viola_Ensemble,médium,322,312,10,1025,1339,314,0.939,0.781,FONDU
Bass_Clarinet_Bb,médium,Trumpet_C+sordina_wah,médium,183,312,129,1270,1139,131,0.843,0.781,SEMI-FONDU_H
Bassoon+sordina,grave,Violin_Ensemble+sordina,médium,484,344,140,1047,1140,93,0.803,0.781,SEMI-FONDU_H
Trumpet_C+sordina_wah,médium,Violoncello+sordina,médium,312,193,119,1139,1226,87,0.762,0.781,HÉTÉROGÈNE
Contrabass_Ensemble,médium,Violin_Ensemble+sordina,médium,172,344,172,1170,1140,30,0.755,0.781,HÉTÉROGÈNE
Bass_Flute,médium,Trombone+sordina_wah,médium,312,592,280,1132,1082,50,0.946,0.781,FONDU_Fp
Contrabass_Ensemble,médium,Trumpet_C+sordina_wah,médium,172,312,140,1170,1139,31,0.707,0.780,HÉTÉROGÈNE
Bass_Clarinet_Bb,médium,Violin+sordina,médium,183,355,172,1270,1175,95,0.850,0.780,SEMI-FONDU_H
Bass_Tuba,médium,Bassoon+sordina,grave,204,484,280,1001,1047,46,0.937,0.779,FONDU_Fp
Bassoon,grave,Violoncello_Ensemble+sordina,médium,506,204,302,1127,1180,53,0.979,0.779,SEMI-FONDU_H
