instrument_A,register_A,instrument_B,register_B,F1_A_hz,F1_B_hz,delta_F1_hz,Fp_A_hz,Fp_B_hz,delta_Fp_hz,Homogeneity_H,fusion_score,category
Contrabass+sordina,médium,Violoncello+sordina,médium,161,193,32,1205,1226,21,0.955,0.950,FONDU_Fp
Contrabass_Flute,médium,Vibraphone,grave,333,312,21,1128,1130,2,0.910,0.950,FONDU
Violin+sordina,médium,Violin_Ensemble+sordina,médium,355,344,11,1175,1140,35,0.940,0.948,FONDU
Oboe,médium,Trumpet_C+sordina_straight,médium,1399,1442,43,1434,1428,6,0.943,0.948,FONDU_Fp
Violin,médium,Violin+sordina,médium,366,355,11,1111,1175,64,0.979,0.947,FONDU
Bass_Tuba+sordina,médium,Bassoon,grave,473,506,33,1077,1127,50,0.990,0.946,FONDU_Fp
Bass_Clarinet_Bb,médium,Violoncello,médium,183,193,10,1270,1202,68,0.980,0.945,FONDU
Contrabass,médium,Violoncello+sordina,médium,161,193,32,1205,1226,21,0.942,0.945,FONDU_Fp
Trumpet_C+sordina_wah,médium,Violin_Ensemble+sordina,médium,312,344,32,1139,1140,1,0.910,0.944,FONDU_Fp
Contrabass_Ensemble,médium,Violoncello_Ensemble+sordina,médium,172,204,32,1170,1180,10,0.922,0.944,FONDU_Fp
Bass_Flute,médium,Violin_Ensemble+sordina,médium,312,344,32,1132,1140,8,0.919,0.944,FONDU_Fp
Trombone,médium,Trombone+sordina_wah,médium,602,592,10,1008,1082,74,0.983,0.943,FONDU
Vibraphone,grave,Viola+sordina,médium,312,322,10,1130,1151,21,0.900,0.942,FONDU
Trumpet_C+sordina_wah,médium,Violin,médium,312,366,54,1139,1111,28,0.977,0.941,FONDU_Fp
Contrabass+sordina,médium,Violoncello,médium,161,193,32,1205,1202,3,0.906,0.941,FONDU_Fp
Contrabass+sordina,médium,Violoncello_Ensemble,médium,161,204,43,1205,1211,6,0.926,0.941,FONDU_Fp
Contrebasson,médium,Guitar,médium,226,215,11,1078,1002,76,0.980,0.940,FONDU
Guitar,médium,Harp,médium,215,193,22,1002,1053,51,0.958,0.939,FONDU
Trumpet_C+sordina_wah,médium,Viola+sordina,médium,312,322,10,1139,1151,12,0.880,0.939,FONDU
Trumpet_C+sordina_wah,médium,Violin+sordina,médium,312,355,43,1139,1175,36,0.966,0.939,FONDU_Fp
Bass_Clarinet_Bb,médium,Violoncello+sordina,médium,183,193,10,1270,1226,44,0.927,0.939,FONDU
Violin,médium,Violin_Ensemble+sordina,médium,366,344,22,1111,1140,29,0.920,0.937,FONDU
Contrabass,médium,Violoncello,médium,161,193,32,1205,1202,3,0.893,0.936,FONDU_Fp
Bass_Clarinet_Bb,médium,Violoncello_Ensemble,médium,183,204,21,1270,1211,59,0.960,0.936,FONDU
Contrabass,médium,Violoncello_Ensemble,médium,161,204,43,1205,1211,6,0.913,0.936,FONDU_Fp
Bassoon,grave,Bassoon+sordina,grave,506,484,22,1127,1047,80,0.988,0.934,FONDU
Contrabass_Ensemble,médium,Violoncello+sordina,médium,172,193,21,1170,1226,56,0.946,0.932,FONDU
Contrabass+sordina,médium,Violoncello_Ensemble+sordina,médium,161,204,43,1205,1180,25,0.933,0.932,FONDU_Fp
Bass_Flute,médium,Trumpet_C+sordina_wah,médium,312,312,0,1132,1139,7,0.841,0.932,FONDU
Contrebasson,médium,Trombone+sordina_harmon,médium,226,183,43,1078,1075,3,0.899,0.932,FONDU_Fp
Violin_Ensemble,médium,Violin_Ensemble+sordina,médium,344,344,0,1225,1140,85,0.956,0.932,FONDU
Harp,médium,Trombone+sordina_harmon,médium,193,183,10,1053,1075,22,0.876,0.931,FONDU
Horn+sordina,médium,Viola+sordina,médium,312,322,10,1161,1151,10,0.851,0.929,FONDU
Contrabass_Ensemble,médium,Violoncello,médium,172,193,21,1170,1202,32,0.899,0.928,FONDU
Bass_Flute,médium,Horn+sordina,médium,312,312,0,1132,1161,29,0.862,0.927,FONDU
Contrabass,médium,Violoncello_Ensemble+sordina,médium,161,204,43,1205,1180,25,0.919,0.927,FONDU_Fp
Viola+sordina_piombo,médium,Violin_Ensemble,médium,290,344,54,1247,1225,22,0.931,0.927,FONDU_Fp
Trombone+sordina_straight,médium,Trombone+sordina_wah,médium,592,592,0,979,1082,103,0.970,0.926,FONDU
Contrabass_Tuba,médium,Harp,médium,215,193,22,964,1053,89,0.982,0.926,FONDU
Bass_Tuba,médium,Contrebasson,médium,204,226,22,1001,1078,77,0.962,0.925,FONDU
Contrabass_Ensemble,médium,Violoncello_Ensemble,médium,172,204,32,1170,1211,41,0.918,0.923,FONDU_Fp
Viola+sordina,médium,Violin+sordina,médium,322,355,33,1151,1175,24,0.891,0.922,FONDU_Fp
Contrabass_Flute,médium,Trumpet_C+sordina_wah,médium,333,312,21,1128,1139,11,0.853,0.922,FONDU
Bass_Clarinet_Bb,médium,Viola_Ensemble+sordina,médium,183,290,107,1270,1261,9,0.979,0.922,FONDU_Fp
Contrabass_Flute,médium,Marimba,médium,333,322,11,1128,1025,103,0.974,0.921,FONDU
Contrebasson,médium,Violoncello+sordina_piombo,médium,226,161,65,1078,1087,9,0.913,0.921,FONDU_Fp
Viola,médium,Violin_Ensemble,médium,322,344,22,1315,1225,90,0.967,0.920,FONDU
Viola+sordina_piombo,médium,Viola_Ensemble+sordina,médium,290,290,0,1247,1261,14,0.818,0.919,FONDU
Viola_Ensemble,médium,Viola_Ensemble+sordina,médium,312,290,22,1339,1261,78,0.944,0.918,FONDU
Clarinet_Bb,chalumeau,Viola_Ensemble+sordina,médium,215,290,75,1315,1261,54,0.984,0.916,SEMI-FONDU
Clarinet_Bb,chalumeau,Violoncello_Ensemble,médium,215,204,11,1315,1211,104,0.962,0.916,FONDU
Bass_Flute,médium,Marimba,médium,312,322,10,1132,1025,107,0.964,0.915,FONDU
Harp,médium,Violoncello+sordina_piombo,médium,193,161,32,1053,1087,34,0.882,0.913,FONDU_Fp
Guitar,médium,Horn,médium,215,322,107,1002,1006,4,0.949,0.913,FONDU_Fp
Trumpet_C+sordina_wah,médium,Violin_Ensemble,médium,312,344,32,1139,1225,86,0.959,0.913,SEMI-FONDU
Bass_Clarinet_Bb,médium,Violoncello_Ensemble+sordina,médium,183,204,21,1270,1180,90,0.948,0.913,FONDU
Contrabass_Ensemble,médium,Harp,médium,172,193,21,1170,1053,117,0.987,0.912,FONDU
Clarinet_Bb,chalumeau,Violoncello,médium,215,193,22,1315,1202,113,0.982,0.912,FONDU
Contrabass_Flute,médium,Violin,médium,333,366,33,1128,1111,17,0.854,0.912,FONDU_Fp
Marimba,médium,Viola+sordina,médium,322,322,0,1025,1151,126,0.967,0.911,FONDU
Viola,médium,Viola_Ensemble+sordina,médium,322,290,32,1315,1261,54,0.905,0.910,SEMI-FONDU
Vibraphone,grave,Violin_Ensemble+sordina,médium,312,344,32,1130,1140,10,0.838,0.910,FONDU_Fp
Contrabass_Tuba,médium,Contrebasson,médium,215,226,11,964,1078,114,0.962,0.910,FONDU
Contrabass_Flute,médium,Violin+sordina,médium,333,355,22,1128,1175,47,0.877,0.909,FONDU
Contrabass_Flute,médium,Horn+sordina,médium,333,312,21,1128,1161,33,0.852,0.909,FONDU
Violoncello,médium,Violoncello+sordina_piombo,médium,193,161,32,1202,1087,115,0.990,0.908,SEMI-FONDU
Violoncello+sordina_piombo,médium,Violoncello_Ensemble+sordina,médium,161,204,43,1087,1180,93,0.967,0.905,SEMI-FONDU
Contrebasson,médium,Violoncello_Ensemble+sordina,médium,226,204,22,1078,1180,102,0.949,0.905,FONDU
Trombone+sordina_harmon,médium,Violoncello,médium,183,193,10,1075,1202,127,0.968,0.905,FONDU
Clarinet_Bb,chalumeau,Violoncello+sordina,médium,215,193,22,1315,1226,89,0.929,0.905,FONDU
Viola+sordina,médium,Violin_Ensemble,médium,322,344,22,1151,1225,74,0.906,0.905,FONDU
Guitar,médium,Trombone+sordina_harmon,médium,215,183,32,1002,1075,73,0.919,0.904,SEMI-FONDU
Bass_Flute,médium,Viola_Ensemble+sordina,médium,312,290,22,1132,1261,129,0.987,0.904,FONDU
Oboe,médium,Oboe+sordina,médium,1399,1324,75,1434,1364,70,0.978,0.904,SEMI-FONDU
Violin,médium,Violin_Ensemble,médium,366,344,22,1111,1225,114,0.963,0.904,FONDU
Clarinet_Bb,chalumeau,Viola_Ensemble,médium,215,312,97,1315,1339,24,0.940,0.903,FONDU_Fp
Contrabass_Ensemble,médium,Contrebasson,médium,172,226,54,1170,1078,92,0.973,0.902,SEMI-FONDU
Trumpet_C+sordina_wah,médium,Vibraphone,grave,312,312,0,1139,1130,9,0.767,0.902,SEMI-FONDU
Contrebasson,médium,Vibraphone,grave,226,312,86,1078,1130,52,0.961,0.901,SEMI-FONDU_H
Bass_Clarinet_Bb,médium,Contrabass+sordina,médium,183,161,22,1270,1205,65,0.884,0.901,FONDU
Trombone+sordina_harmon,médium,Violoncello_Ensemble+sordina,médium,183,204,21,1075,1180,105,0.942,0.901,FONDU
Viola_Ensemble+sordina,médium,Violoncello_Ensemble,médium,290,204,86,1261,1211,50,0.956,0.901,FONDU_Fp
Viola+sordina,médium,Viola_Ensemble+sordina,médium,322,290,32,1151,1261,110,0.965,0.901,SEMI-FONDU
Viola,médium,Viola+sordina_piombo,médium,322,290,32,1315,1247,68,0.901,0.900,SEMI-FONDU
Trumpet_C+sordina_wah,médium,Viola+sordina_piombo,médium,312,290,22,1139,1247,108,0.944,0.900,FONDU
Marimba,médium,Vibraphone,grave,322,312,10,1025,1130,105,0.921,0.899,FONDU
Contrabass_Ensemble,médium,Violoncello+sordina_piombo,médium,172,161,11,1170,1087,83,0.889,0.899,FONDU
Horn,médium,Vibraphone,grave,322,312,10,1006,1130,124,0.949,0.899,FONDU
Viola+sordina,médium,Violin,médium,322,366,44,1151,1111,40,0.871,0.898,FONDU_Fp
Bass_Flute,médium,Horn,médium,312,322,10,1132,1006,126,0.948,0.898,FONDU
Viola+sordina_piombo,médium,Violin+sordina,médium,290,355,65,1247,1175,72,0.949,0.897,SEMI-FONDU
Clarinet_Bb,chalumeau,Viola,médium,215,322,107,1315,1315,0,0.903,0.897,FONDU_Fp
Piccolo,médium,Trumpet_C+sordina_straight,médium,1431,1442,11,1508,1428,80,0.878,0.896,FONDU
Bass_Clarinet_Bb,médium,Contrabass,médium,183,161,22,1270,1205,65,0.871,0.896,FONDU
Viola_Ensemble+sordina,médium,Violoncello,médium,290,193,97,1261,1202,59,0.975,0.896,SEMI-FONDU_H
Vibraphone,grave,Violoncello_Ensemble+sordina,médium,312,204,108,1130,1180,50,0.976,0.896,FONDU_Fp
Viola_Ensemble+sordina,médium,Violin_Ensemble,médium,290,344,54,1261,1225,36,0.873,0.895,FONDU_Fp
Contrabass_Flute,médium,Horn,médium,333,322,11,1128,1006,122,0.938,0.895,FONDU
Bass_Flute,médium,Violin+sordina,médium,312,355,43,1132,1175,43,0.865,0.894,FONDU_Fp
Horn+sordina,médium,Violoncello_Ensemble+sordina,médium,312,204,108,1161,1180,19,0.925,0.894,FONDU_Fp
Clarinet_Bb,chalumeau,Violoncello_Ensemble+sordina,médium,215,204,11,1315,1180,135,0.951,0.893,FONDU
Bass_Flute,médium,Violin,médium,312,366,54,1132,1111,21,0.843,0.892,FONDU_Fp
Bassoon,grave,Trombone+sordina_wah,médium,506,592,86,1127,1082,45,0.927,0.892,FONDU_Fp
Contrabass_Ensemble,médium,Horn+sordina,médium,172,312,140,1170,1161,9,0.953,0.892,FONDU_Fp
Bass_Tuba+sordina,médium,Trombone+sordina_wah,médium,473,592,119,1077,1082,5,0.916,0.892,FONDU_Fp
Viola_Ensemble+sordina,médium,Violoncello+sordina,médium,290,193,97,1261,1226,35,0.927,0.891,FONDU_Fp
Clarinet_Eb,médium,Trumpet_C+sordina_straight,médium,1496,1442,54,1417,1428,11,0.825,0.891,FONDU_Fp
Contrebasson,médium,Horn+sordina,médium,226,312,86,1078,1161,83,0.981,0.891,SEMI-FONDU_H
Contrabass+sordina,médium,Violoncello+sordina_piombo,médium,161,161,0,1205,1087,118,0.901,0.890,FONDU
Guitar,médium,Violoncello+sordina_piombo,médium,215,161,54,1002,1087,85,0.931,0.889,SEMI-FONDU
Contrabass_Flute,médium,Violin_Ensemble,médium,333,344,11,1128,1225,97,0.884,0.889,FONDU
Violoncello+sordina_piombo,médium,Violoncello_Ensemble,médium,161,204,43,1087,1211,124,0.971,0.888,SEMI-FONDU
Horn,médium,Viola+sordina,médium,322,322,0,1006,1151,145,0.936,0.888,FONDU
Guitar,médium,Marimba,médium,215,322,107,1002,1025,23,0.913,0.887,FONDU_Fp
Bass_Tuba,médium,Trombone+sordina_harmon,médium,204,183,21,1001,1075,74,0.858,0.886,FONDU
Bass_Trombone,médium,Trombone+sordina_cup,médium,872,915,43,1123,992,131,0.975,0.886,SEMI-FONDU
Trombone+sordina_harmon,médium,Violoncello_Ensemble,médium,183,204,21,1075,1211,136,0.949,0.885,FONDU
Piccolo,médium,Trumpet_C+sordina_cup,médium,1431,1496,65,1508,1617,109,0.974,0.885,SEMI-FONDU
Contrabass_Ensemble,médium,Trombone+sordina_harmon,médium,172,183,11,1170,1075,95,0.871,0.885,FONDU
Viola_Ensemble,médium,Violin_Ensemble,médium,312,344,32,1339,1225,114,0.931,0.885,SEMI-FONDU
Contrebasson,médium,Violoncello_Ensemble,médium,226,204,22,1078,1211,133,0.943,0.884,FONDU
Harp,médium,Violoncello_Ensemble+sordina,médium,193,204,11,1053,1180,127,0.918,0.884,FONDU
Bass_Clarinet_Bb,médium,Contrabass_Ensemble,médium,183,172,11,1270,1170,100,0.877,0.884,FONDU
Contrabass_Flute,médium,Viola_Ensemble+sordina,médium,333,290,43,1128,1261,133,0.974,0.884,SEMI-FONDU
Contrabass,médium,Violoncello+sordina_piombo,médium,161,161,0,1205,1087,118,0.887,0.884,FONDU
Contrabass+sordina,médium,Harp,médium,161,193,32,1205,1053,152,0.985,0.883,SEMI-FONDU
Bass_Flute,médium,Violoncello_Ensemble+sordina,médium,312,204,108,1132,1180,48,0.942,0.883,FONDU_Fp
Clarinet_Eb,médium,Oboe,médium,1496,1399,97,1417,1434,17,0.879,0.883,FONDU_Fp
Bass_Tuba,médium,Horn,médium,204,322,118,1001,1006,5,0.890,0.882,FONDU_Fp
Vibraphone,grave,Viola_Ensemble+sordina,médium,312,290,22,1130,1261,131,0.934,0.882,FONDU
Marimba,médium,Trombone+sordina_harmon,médium,322,183,139,1025,1075,50,0.987,0.881,FONDU_Fp
Bassoon+sordina,grave,Trombone+sordina_wah,médium,484,592,108,1047,1082,35,0.917,0.881,FONDU_Fp
Bass_Flute,médium,Trombone+sordina_harmon,médium,312,183,129,1132,1075,57,0.981,0.881,SEMI-FONDU_H
Contrebasson,médium,Violoncello+sordina,médium,226,193,33,1078,1226,148,0.972,0.880,SEMI-FONDU
Viola_Ensemble+sordina,médium,Violoncello_Ensemble+sordina,médium,290,204,86,1261,1180,81,0.949,0.880,SEMI-FONDU_H
Contrabass,médium,Harp,médium,161,193,32,1205,1053,152,0.974,0.879,SEMI-FONDU
Horn+sordina,médium,Trumpet_C+sordina_wah,médium,312,312,0,1161,1139,22,0.730,0.879,SEMI-FONDU
Clarinet_Bb,chalumeau,Contrabass_Clarinet_Bb,médium,215,75,140,1315,1363,48,0.978,0.878,FONDU_Fp
Viola+sordina_piombo,médium,Viola_Ensemble,médium,290,312,22,1247,1339,92,0.866,0.878,FONDU
Viola,médium,Viola+sordina,médium,322,322,0,1315,1151,164,0.940,0.878,FONDU
Viola+sordina,médium,Violoncello_Ensemble+sordina,médium,322,204,118,1151,1180,29,0.913,0.877,FONDU_Fp
Flute,médium,Trumpet_C+sordina_straight,médium,1496,1442,54,1412,1428,16,0.797,0.877,SEMI-FONDU
Horn+sordina,médium,Viola_Ensemble+sordina,médium,312,290,22,1161,1261,100,0.875,0.877,FONDU
Viola,médium,Violin+sordina,médium,322,355,33,1315,1175,140,0.949,0.876,SEMI-FONDU
Contrabass+sordina,médium,Contrebasson,médium,161,226,65,1205,1078,127,0.977,0.875,SEMI-FONDU
Marimba,médium,Violin_Ensemble+sordina,médium,322,344,22,1025,1140,115,0.894,0.875,FONDU
Contrebasson,médium,Violoncello,médium,226,193,33,1078,1202,124,0.924,0.875,SEMI-FONDU
Violoncello+sordina,médium,Violoncello+sordina_piombo,médium,193,161,32,1226,1087,139,0.945,0.875,SEMI-FONDU
Bass_Clarinet_Bb,médium,Trombone+sordina_harmon,médium,183,183,0,1270,1075,195,0.980,0.875,FONDU
Bass_Flute,médium,Violin_Ensemble,médium,312,344,32,1132,1225,93,0.874,0.875,SEMI-FONDU
Bass_Flute,médium,Violoncello,médium,312,193,119,1132,1202,70,0.969,0.874,SEMI-FONDU_H
Horn+sordina,médium,Violin_Ensemble+sordina,médium,312,344,32,1161,1140,21,0.765,0.874,SEMI-FONDU
Horn+sordina,médium,Violoncello_Ensemble,médium,312,204,108,1161,1211,50,0.922,0.874,FONDU_Fp
Bass_Tuba,médium,Contrabass_Ensemble,médium,204,172,32,1001,1170,169,0.986,0.874,SEMI-FONDU
Guitar,médium,Violoncello_Ensemble+sordina,médium,215,204,11,1002,1180,178,0.968,0.874,FONDU
Harp,médium,Violoncello+sordina,médium,193,193,0,1053,1226,173,0.944,0.874,FONDU
Vibraphone,grave,Violoncello_Ensemble,médium,312,204,108,1130,1211,81,0.967,0.874,SEMI-FONDU_H
Horn,médium,Horn+sordina,médium,322,312,10,1006,1161,155,0.931,0.873,FONDU
Oboe,médium,Piccolo,médium,1399,1431,32,1434,1508,74,0.842,0.873,SEMI-FONDU
Viola+sordina,médium,Viola_Ensemble,médium,322,312,10,1151,1339,188,0.979,0.873,FONDU
Bass_Flute,médium,Violoncello+sordina_piombo,médium,312,161,151,1132,1087,45,0.975,0.873,FONDU_Fp
Trombone+sordina_harmon,médium,Violoncello+sordina,médium,183,193,10,1075,1226,151,0.920,0.871,FONDU
Viola,médium,Violin_Ensemble+sordina,médium,322,344,22,1315,1140,175,0.974,0.871,FONDU
Bassoon+sordina,grave,Trombone+sordina_straight,médium,484,592,108,1047,979,68,0.941,0.871,SEMI-FONDU_H
Bass_Flute,médium,Contrebasson,médium,312,226,86,1132,1078,54,0.887,0.871,SEMI-FONDU_H
Contrabass,médium,Contrebasson,médium,161,226,65,1205,1078,127,0.965,0.871,SEMI-FONDU
Contrebasson,médium,Horn,médium,226,322,96,1078,1006,72,0.929,0.871,SEMI-FONDU_H
Horn+sordina,médium,Violoncello+sordina,médium,312,193,119,1161,1226,65,0.951,0.870,SEMI-FONDU_H
Bass_Clarinet_Bb,médium,Contrabass_Clarinet_Bb,médium,183,75,108,1270,1363,93,0.977,0.870,SEMI-FONDU_H
Bassoon,grave,Vibraphone,grave,506,312,194,1127,1130,3,0.970,0.870,FONDU_Fp
Horn+sordina,médium,Marimba,médium,312,322,10,1161,1025,136,0.893,0.870,FONDU
Viola+sordina,médium,Violoncello,médium,322,193,129,1151,1202,51,0.944,0.869,SEMI-FONDU_H
Harp,médium,Violoncello,médium,193,193,0,1053,1202,149,0.896,0.869,FONDU
Contrabass_Flute,médium,Trombone+sordina_harmon,médium,333,183,150,1128,1075,53,0.976,0.869,SEMI-FONDU_H
Flute,médium,Oboe,médium,1496,1399,97,1412,1434,22,0.850,0.868,FONDU_Fp
Bass_Clarinet_Bb,médium,Violoncello+sordina_piombo,médium,183,161,22,1270,1087,183,0.978,0.868,FONDU
Bass_Tuba,médium,Violoncello+sordina_piombo,médium,204,161,43,1001,1087,86,0.864,0.868,SEMI-FONDU
Contrebasson,médium,Marimba,médium,226,322,96,1078,1025,53,0.893,0.868,SEMI-FONDU_H
Bass_Flute,médium,Violoncello_Ensemble,médium,312,204,108,1132,1211,79,0.950,0.868,SEMI-FONDU_H
Contrabass_Tuba,médium,Horn,médium,215,322,107,964,1006,42,0.892,0.867,FONDU_Fp
Bassoon+sordina,grave,Trombone,médium,484,602,118,1047,1008,39,0.900,0.866,FONDU_Fp
Horn+sordina,médium,Violoncello,médium,312,193,119,1161,1202,41,0.904,0.865,FONDU_Fp
Vibraphone,grave,Violoncello+sordina,médium,312,193,119,1130,1226,96,0.986,0.865,SEMI-FONDU_H
Contrabass_Ensemble,médium,Vibraphone,grave,172,312,140,1170,1130,40,0.932,0.865,FONDU_Fp
Harp,médium,Violoncello_Ensemble,médium,193,204,11,1053,1211,158,0.915,0.865,FONDU
Vibraphone,grave,Violoncello,médium,312,193,119,1130,1202,72,0.947,0.864,SEMI-FONDU_H
Trumpet_C+sordina_wah,médium,Viola,médium,312,322,10,1139,1315,176,0.939,0.864,FONDU
Contrabass_Clarinet_Bb,médium,Violin+sordina_piombo,médium,75,75,0,1363,1376,13,0.679,0.864,CONVERGENT
Contrabass_Flute,médium,Violoncello_Ensemble+sordina,médium,333,204,129,1128,1180,52,0.931,0.864,SEMI-FONDU_H
Bass_Tuba+sordina,médium,Vibraphone,grave,473,312,161,1077,1130,53,0.980,0.863,SEMI-FONDU_H
English_Horn,médium,Trumpet_C,médium,1065,1152,87,1186,1306,120,0.968,0.863,SEMI-FONDU_H
Viola+sordina,médium,Violoncello_Ensemble,médium,322,204,118,1151,1211,60,0.924,0.863,SEMI-FONDU_H
Vibraphone,grave,Violin+sordina,médium,312,355,43,1130,1175,45,0.789,0.863,SEMI-FONDU
Viola+sordina,médium,Viola+sordina_piombo,médium,322,290,32,1151,1247,96,0.847,0.862,SEMI-FONDU
Vibraphone,grave,Violin,médium,312,366,54,1130,1111,19,0.764,0.862,SEMI-FONDU
Viola_Ensemble+sordina,médium,Violin_Ensemble+sordina,médium,290,344,54,1261,1140,121,0.916,0.862,SEMI-FONDU
Contrabass+sordina,médium,Horn+sordina,médium,161,312,151,1205,1161,44,0.946,0.862,FONDU_Fp
Viola+sordina_piombo,médium,Violin_Ensemble+sordina,médium,290,344,54,1247,1140,107,0.895,0.861,SEMI-FONDU
Trombone+sordina_harmon,médium,Vibraphone,grave,183,312,129,1075,1130,55,0.929,0.861,SEMI-FONDU_H
Bassoon+sordina,grave,Horn,médium,484,322,162,1047,1006,41,0.957,0.861,FONDU_Fp
Bassoon,grave,Contrabass_Flute,médium,506,333,173,1127,1128,1,0.914,0.861,FONDU_Fp
Horn,médium,Trombone+sordina_harmon,médium,322,183,139,1006,1075,69,0.962,0.860,SEMI-FONDU_H
Vibraphone,grave,Violoncello+sordina_piombo,médium,312,161,151,1130,1087,43,0.941,0.860,FONDU_Fp
Marimba,médium,Trumpet_C+sordina_wah,médium,322,312,10,1025,1139,114,0.836,0.860,FONDU
Oboe+sordina,médium,Trumpet_C+sordina_straight,médium,1324,1442,118,1364,1428,64,0.922,0.860,SEMI-FONDU_H
